route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
SILVER LIMITED SUNDAY,SV1 NONUISU,[@124.0.92241454@][1484326515007]/73__SV1_NONUISU,Transit Plaza,1,SV1 NONUISU,[@124.0.92241454@]7
YELLOW SUNDAY,Y4 SU,[@124.0.92236898@][1484325332995]/5__Y4_SU,Champaign Walmart,0,Y4 SU,[@124.0.92236898@]Y1SATPO
BROWN,BA1 MF,[@15.0.68512037@][10][1375909964510]/1__BA1_MF,Parkland College,0,BA1 MF,[@15.0.61662606@]136
ILLINI EVENING SUNDAY,I2 UISU,[@124.0.92263401@][1484328944432]/25__I2_UISU,Lincoln & Killarney,0,I2 UISU,[@124.0.92263401@]220N ILLINI 10
TEAL SUNDAY,T2 UISU,[@124.0.92229742@][1484323714302]/53__T2_UISU,Orchard Downs,0,T2 UISU,[@124.0.92229742@]12E TEAL WEEKEND 13
TEAL SATURDAY,T1 NONUISA,[@12.0.44194660@][1250946648828]/15__T1_NONUISA,Illinois Terminal,1,T1 NONUISA,TEAL WEEKEND 16
BROWN ALT PM,6E 7W SHOW WED,[@15.0.61734120@][20][1328807696667]/3__6E_7W_SHOW_WED,Parkland Ridge - Timberline,1,6E 7W SHOW WED,[@15.0.61734120@]335
SILVER SATURDAY,SV2 UISA,[@12.0.44184681@][1250945403296]/79__SV2_UISA,Lincoln Square,0,SV2 UISA,130N SILVER WEEKEND 1
SILVER LIMITED EVENING SATURDAY,SV1 NONUISA,[@124.0.92350475@][1484580809807]/59__SV1_NONUISA,Lincoln Square,0,SV1 NONUISA,[@124.0.92350475@]2
SILVER EVENING SATURDAY,SV2 UISA,[@124.0.92284627@][1484347218447]/80__SV2_UISA,PAR,1,SV2 UISA,[@124.0.92284627@]SILVER 121
ILLINI EVENING SUNDAY,I1 UISU,[@124.0.92263401@][1484328944432]/63__I1_UISU,Lincoln & Killarney,0,I1 UISU,[@124.0.92263401@]220N ILLINI 10
BROWN ALT,9A SHOW WED,[@15.0.59410957@][10][1314635337474]/1__9A_SHOW_WED,Harris & Harvard,0,9A SHOW WED,[@15.0.59410957@]1
RED,R3 MF,[@14.0.56288404@][2][1302789028390]/10__R3_MF,Lincoln Square,1,R3 MF,RED 6
ILLINI,I7 UIF,[@7.0.41200832@][1][1238430123625]/43__I7_UIF,Lincoln & Killarney,0,I7 UIF,22N ILLINI 10
ILLINI EVENING SATURDAY,I4 UISA,[@124.0.92260187@][1484328831455]/73__I4_UISA,PAR,1,I4 UISA,[@124.0.92260187@]220S ILLINI 20
ILLINI LIMITED SUNDAY,I2 UISU,[@6.0.14330187@][1][1622252763821]/5__I2_UISU,Lincoln & Killarney,0,I2 UISU,[@6.0.14330187@]6
GREEN EVENING SATURDAY,GN3 NONUISA,[@124.0.92311676@][1484576395235]/39__GN3_NONUISA,Orchard Downs,0,GN3 NONUISA,[@124.0.92311676@]GREEN EVENING 39
GREY SUNDAY,GN4 SU,[@2.0.85633657@][31][1463430303388]/30__GN4_SU,Lincoln Square - Urbana Walmart,0,GN4 SU,70E-WKND
ILLINI EVENING SATURDAY,I4 UISA,[@124.0.92260187@][1484328831455]/344__I4_UISA,Lincoln & Killarney,0,I4 UISA,[@124.0.92260187@]220N ILLINI 10
SILVER,SV2 UI MF,[@12.0.42199629@][3][1246896440906]/2__SV2_UI_MF,Lincoln Square,0,SV2 UI MF,SILVER 2
SILVER EVENING SATURDAY,SV2 UISA,[@124.0.92284627@][1484347218447]/149__SV2_UISA,Lincoln Square,0,SV2 UISA,[@124.0.92284627@]130N SILVER EVENING 1
GREEN SATURDAY,LM2SA,GN2SATPO__LM2SA,Philo & Colorado,0,LM2SA,GN1SUNPO
YELLOW EVENING SATURDAY,Y1 UISA,[@124.0.92247832@][1484327725398]/7__Y1_UISA,Savoy Walmart,1,Y1 UISA,[@124.0.92247832@]100S
TEAL SUNDAY,T1 UISU,[@124.0.92229742@][1484323714302]/75__T1_UISU,Illinois Terminal,1,T1 UISU,[@124.0.92229742@]TEAL WEEKEND 16
SILVER,SV4 UIF SCH,[@12.0.42199629@][3][1246896440906]/20__SV4_UIF_SCH,Lincoln Square,0,SV4 UIF SCH,SILVER 2
LIME SATURDAY,LM2SA,[@124.0.94415201@][12][1496416303828]/32__LM2SA,Duncan & Bradley,1,LM2SA,[@15.0.73009433@]41
LAVENDER SATURDAY,L1SA,[@15.0.63188981@][1][1334071343101]/1__L1SA,Champaign Walmart,0,L1SA,30NIT->BB
GREENHOPPER EVENING SATURDAY,GN5SA,[@7.0.42019048@][4][1256062611953]/2__GN5SA,Round Barn Road,1,GN5SA,50W HOPPER 104
TEAL EVENING SATURDAY,T1 NONUISA,[@124.0.92279199@][1484345597711]/59__T1_NONUISA,Illinois Terminal,1,T1 NONUISA,[@124.0.92279199@]TEAL EVENING 12
BLUE,B3 NOSCHMF,[@14.0.56288268@][3][1302634831873]/9__B3_NOSCHMF,Illinois Terminal,0,B3 NOSCHMF,BLUE 51
LAVENDER SATURDAY,L2SA,[@15.0.63188981@][1][1334071343101]/0__L2SA,Champaign Walmart,0,L2SA,30NIT->BB
GOLD,G4 MF,[@7.0.41203042@][4][1246653934031]/24__G4_MF,Lot E-14,1,G4 MF,[@15.0.63191692@]370
ORANGE,O4 MF,[@2.0.86175868@][1458585713139]/80__O4_MF,Illinois Terminal,1,O4 MF,[@2.0.86175868@]70
TEAL,T1 UI MTWR,[@7.0.41893871@][3][1243541396687]/80__T1_UI_MTWR,Orchard Downs,0,T1 UI MTWR,12E TEAL 13
